customer_id,customer_first_name,customer_last_name,customer_email_address
79,James,Hujjiba,JamesHujjiba@yahoo.com
80,Kile,Aggot,KileAggot@gmail.com
81,Heirich,Wanger,HeirichWanger@yahoo.com
82,Zen,Antonitii,ZenAntonitii@gmail.com
83,Tiala,Sumardar,TialaSumardar@yahoo.com
84,David,Jones,DavidJones@gmail.com
85,Santa,Claws,SantaClaws@yahoo.com
86,Johnny,Rocket,JohnnyRocket@gmail.com
87,Michael,Hunt,MichaelHunt@yahoo.com
88,Easter,Bunny,EasterBunny@gmail.com
89,Smith,Timothy,SmithTimothy@yahoo.com
90,Arts,Franklin,ArtsFranklin@gmail.com
91,Caisse,Anna,CaisseAnna@yahoo.com
92,Olivares,Eric,OlivaresEric@gmail.com
93,Sampson,Thomas,SampsonThomas@yahoo.com
94,Jason,John,JasonJohn@gmail.com
95,Tom,Jane,TomJane@yahoo.com
96,Billy,Vale,BillyVale@gmail.com
97,Joey,Laskowski,JoeyLaskowski@yahoo.com
98,Your,Name,YourName@gmail.com
99,Luke,Colletti,LukeColletti@fairpoint.com
100,Bethune,Emily,BethuneEmily@comcast.com
101,Ovitt,Joanne,OvittJoanne@yahoo.com
102,Flower,Daisy,FlowerDaisy@gmail.com
103,Dumber,Dumb,DumberDumb@fairpoint.com
104,Ovitt,Samantha,OvittSamantha@comcast.com
105,Fakey,McPhoney,FakeyMcPhoney@yahoo.com
106,John,Mongler,JohnMongler@gmail.com
107,Dude,McBro,DudeMcBro@fairpoint.com
108,Nully,Value,NullyValue@comcast.com
109,John,Smith,JohnSmith@yahoo.com
110,Frank,Tank,FrankTank@gmail.com
111,Rob,Bob,RobBob@fairpoint.com
112,Sponge,Robert,SpongeRobert@comcast.com
113,Tito,Summers,TitoSummers@yahoo.com
114,Bo,Messiersontonsingtonellio,BoMessiersontonsingtonellio@gmail.com
115,Bob,Cross,BobCross@fairpoint.com
116,Will,Samuel,WillSamuel@comcast.com
117,John,Evans,JohnEvans@yahoo.com
118,Michelle,Obama,MichelleObama@gmail.com
119,Juan,Sucro,JuanSucro@yahoo.com
120,Jonathan,Lobe,JonathanLobe@gmail.com
121,Jimmy,Jam,JimmyJam@yahoo.com
122,Onetwo,Twoone,OnetwoTwoone@gmail.com
123,Abe,Lincoln,AbeLincoln@yahoo.com
124,Mega,Man,MegaMan@gmail.com
125,Luke,Skywalker,LukeSkywalker@yahoo.com
126,Road,Kill,RoadKill@gmail.com
127,Derek,Jeter,DerekJeter@yahoo.com
128,Jesus,Christ,JesusChrist@gmail.com
129,Pass,Go,PassGo@yahoo.com
130,Peter,Peterson,PeterPeterson@gmail.com
131,Jamie,Jamieson,JamieJamieson@yahoo.com
132,Jordan,Berkowitz,JordanBerkowitz@gmail.com
133,John,Brown,JohnBrown@yahoo.com
134,Jessica,Jacket,JessicaJacket@gmail.com
135,Jake,Johnson,JakeJohnson@yahoo.com
136,Santa,Clause,SantaClause@gmail.com
137,Bruce,Jones,BruceJones@yahoo.com
138,Frank,Canovatchel,FrankCanovatchel@gmail.com
139,Guy,Getdown,GuyGetdown@yahoo.com
140,Sung,Fugong,SungFugong@gmail.com
141,Bruce,Wayne,BruceWayne@yahoo.com
142,Wonder,Woman,WonderWoman@gmail.com
143,Clark,Kent,ClarkKent@yahoo.com
144,Peter,Parker,PeterParker@gmail.com
145,Mister,Freeze,MisterFreeze@yahoo.com
146,Barry,White,BarryWhite@gmail.com
147,Jeff,Seid,JeffSeid@yahoo.com
148,Mark,Wahlberg,MarkWahlberg@gmail.com
149,James,Boiben,JamesBoiben@yahoo.com
150,Aziz,Shavershain,AzizShavershain@gmail.com
151,Henry,Quinn,HenryQuinn@yahoo.com
152,Rick,Grimes,RickGrimes@gmail.com
153,Big,Bird,BigBird@yahoo.com
154,Sally,Jane,SallyJane@gmail.com
155,Amanda,Fintz,AmandaFintz@yahoo.com
156,Marc,Bartalone,MarcBartalone@gmail.com
157,Brian,Parker,BrianParker@yahoo.com
158,Steve,Bates,SteveBates@gmail.com
159,Wallace,Penguinhopper,WallacePenguinhopper@yahoo.com
160,Jack,Daniels,JackDaniels@gmail.com
161,Anthony,Larosa,AnthonyLarosa@yahoo.com
162,Hubert,Bowtie,HubertBowtie@gmail.com
